State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
MN,55001,AFTON,0.068750,0.071250,0.000000,0.000000,0.002500,1
MN,55002,"CHISAGO CO TR",0.068750,0.073750,0.000000,0,0.005000,1
MN,55003,BAYPORT,0.068750,0.071250,0.000000,0.000000,0.002500,2
MN,55005,"EAST BETHEL",0.068750,0.071250,0.000000,0.000000,0.002500,5
MN,55006,BRAHAM,0.068750,0.068750,0.000000,0.000000,0,3
MN,55007,KANABEC,0.068750,0.068750,0.000000,0,0,3
MN,55008,CAMBRIDGE,0.068750,0.068750,0.000000,0.000000,0,3
MN,55009,"CANNON FALLS",0.068750,0.068750,0.000000,0.000000,0,4
MN,55010,"DAKOTA CO TR",0.068750,0.071250,0.000000,0,0.002500,1
MN,55011,"EAST BETHEL",0.068750,0.071250,0.000000,0.000000,0.002500,5
MN,55012,"CHISAGO CO TR",0.068750,0.073750,0.000000,0,0.005000,2
MN,55013,"CHISAGO CITY",0.068750,0.073750,0.000000,0.000000,0.005000,1
MN,55014,"LINO LAKES",0.068750,0.071250,0.000000,0.000000,0.002500,8
MN,55016,"COTTAGE GROVE",0.068750,0.071250,0.000000,0.000000,0.002500,1
MN,55017,ISANTI,0.068750,0.068750,0.000000,0,0,1
MN,55018,GOODHUE,0.068750,0.068750,0.000000,0,0,1
MN,55019,DUNDAS,0.068750,0.073750,0.000000,0.000000,0.005000,1
MN,55020,"SCOTT CO TR",0.068750,0.073750,0.000000,0,0.005000,3
MN,55021,FARIBAULT,0.068750,0.073750,0.000000,0.000000,0.005000,1
MN,55024,FARMINGTON,0.068750,0.071250,0.000000,0.000000,0.002500,1
MN,55025,"FOREST LAKE",0.068750,0.071250,0.000000,0.000000,0.002500,4
MN,55026,GOODHUE,0.068750,0.068750,0.000000,0,0,1
MN,55027,GOODHUE,0.068750,0.068750,0.000000,0,0,2
MN,55029,ISANTI,0.068750,0.068750,0.000000,0,0,1
MN,55030,"PINE CO TR",0.068750,0.073750,0.000000,0,0.005000,1
MN,55031,"DAKOTA CO TR",0.068750,0.071250,0.000000,0,0.002500,2
MN,55032,"CHISAGO CO TR",0.068750,0.073750,0.000000,0,0.005000,1
MN,55033,HASTINGS,0.068750,0.071250,0.000000,0.000000,0.002500,1
MN,55036,HENRIETTE,0.068750,0.073750,0.000000,0.000000,0.005000,2
MN,55037,"PINE CO TR",0.068750,0.073750,0.000000,0,0.005000,1
MN,55038,HUGO,0.068750,0.071250,0.000000,0.000000,0.002500,6
MN,55040,ISANTI,0.068750,0.068750,0.000000,0,0,1
MN,55041,"LAKE CITY",0.068750,0.073750,0.000000,0.000000,0.005000,1
MN,55042,"LAKE ELMO",0.068750,0.071250,0.000000,0.000000,0.002500,2
MN,55043,LAKELAND,0.068750,0.071250,0.000000,0.000000,0.002500,6
MN,55044,LAKEVILLE,0.068750,0.071250,0.000000,0.000000,0.002500,3
MN,55045,"CHISAGO CO TR",0.068750,0.073750,0.000000,0,0.005000,1
MN,55046,LONSDALE,0.068750,0.073750,0.000000,0.000000,0.005000,2
MN,55047,SCANDIA,0.068750,0.071250,0.000000,0.000000,0.002500,5
MN,55049,"STEELE CO TR",0.068750,0.073750,0.000000,0,0.005000,2
MN,55051,MORA,0.068750,0.068750,0.000000,0.000000,0,6
MN,55052,"RICE CO TR",0.068750,0.073750,0.000000,0,0.005000,1
MN,55053,"RICE CO TR",0.068750,0.073750,0.000000,0,0.005000,2
MN,55054,"ELKO NEW MARKET",0.068750,0.073750,0.000000,0.000000,0.005000,3
MN,55055,NEWPORT,0.068750,0.071250,0.000000,0.000000,0.002500,1
MN,55056,"NORTH BRANCH",0.068750,0.073750,0.000000,0.000000,0.005000,2
MN,55057,NORTHFIELD,0.068750,0.073750,0.000000,0.000000,0.005000,2
MN,55060,"STEELE CO TR",0.068750,0.073750,0.000000,0,0.005000,4
MN,55063,"PINE CO TR",0.068750,0.073750,0.000000,0,0.005000,4
MN,55065,"DAKOTA CO TR",0.068750,0.071250,0.000000,0,0.002500,1
MN,55066,"RED WING",0.068750,0.068750,0.000000,0.000000,0,1
MN,55067,"RUSH CITY",0.068750,0.073750,0.000000,0.000000,0.005000,1
MN,55068,ROSEMOUNT,0.068750,0.071250,0.000000,0.000000,0.002500,1
MN,55069,"CHISAGO CO TR",0.068750,0.073750,0.000000,0,0.005000,1
MN,55070,"SAINT FRANCIS",0.068750,0.071250,0.000000,0.000000,0.002500,2
MN,55071,"SAINT PAUL PARK",0.068750,0.068750,0.000000,0.000000,0,3
MN,55072,"PINE CO TR",0.068750,0.073750,0.000000,0,0.005000,5
MN,55073,SCANDIA,0.068750,0.071250,0.000000,0.000000,0.002500,4
MN,55074,"CHISAGO CO TR",0.068750,0.073750,0.000000,0,0.005000,2
MN,55075,"SOUTH SAINT PAUL",0.068750,0.071250,0.000000,0.000000,0.002500,2
MN,55076,"INVER GROVE HEIGHTS",0.068750,0.071250,0.000000,0.000000,0.002500,4
MN,55077,"INVER GROVE HEIGHTS",0.068750,0.071250,0.000000,0.000000,0.002500,5
MN,55078,STACY,0.068750,0.073750,0.000000,0.000000,0.005000,1
MN,55079,ANOKA,0.068750,0.071250,0.000000,0,0.002500,3
MN,55080,ISANTI,0.068750,0.068750,0.000000,0,0,2
MN,55082,STILLWATER,0.068750,0.071250,0.000000,0.000000,0.002500,3
MN,55083,STILLWATER,0.068750,0.071250,0.000000,0.000000,0.002500,1
MN,55084,"CHISAGO CO TR",0.068750,0.073750,0.000000,0,0.005000,2
MN,55085,VERMILLION,0.068750,0.071250,0.000000,0.000000,0.002500,1
MN,55087,"RICE CO TR",0.068750,0.073750,0.000000,0,0.005000,1
MN,55088,"RICE CO TR",0.068750,0.073750,0.000000,0,0.005000,1
MN,55089,GOODHUE,0.068750,0.068750,0.000000,0,0,3
MN,55090,WILLERNIE,0.068750,0.071250,0.000000,0.000000,0.002500,1
MN,55092,WYOMING,0.068750,0.073750,0.000000,0.000000,0.005000,5
MN,55101,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,4
MN,55102,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,4
MN,55103,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,4
MN,55104,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,4
MN,55105,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,4
MN,55106,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,5
MN,55107,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,6
MN,55108,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,6
MN,55109,MAPLEWOOD,0.068750,0.073750,0.000000,0.000000,0.005000,9
MN,55110,"WHITE BEAR LAKE",0.068750,0.073750,0.000000,0.000000,0.005000,12
MN,55111,"HENNEPIN COUNTY",0.068750,0.075250,0.001500,0,0.005000,5
MN,55112,"NEW BRIGHTON",0.068750,0.073750,0.000000,0.000000,0.005000,8
MN,55113,ROSEVILLE,0.068750,0.073750,0.000000,0.000000,0.005000,8
MN,55114,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,4
MN,55115,MAHTOMEDI,0.068750,0.071250,0.000000,0.000000,0.002500,8
MN,55116,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,4
MN,55117,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,6
MN,55118,"WEST SAINT PAUL",0.068750,0.071250,0.000000,0.000000,0.002500,9
MN,55119,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,5
MN,55120,"MENDOTA HEIGHTS",0.068750,0.071250,0.000000,0.000000,0.002500,6
MN,55121,EAGAN,0.068750,0.071250,0.000000,0.000000,0.002500,5
MN,55122,EAGAN,0.068750,0.071250,0.000000,0.000000,0.002500,5
MN,55123,EAGAN,0.068750,0.071250,0.000000,0.000000,0.002500,5
MN,55124,"APPLE VALLEY",0.068750,0.071250,0.000000,0.000000,0.002500,5
MN,55125,WOODBURY,0.068750,0.071250,0.000000,0.000000,0.002500,5
MN,55126,SHOREVIEW,0.068750,0.073750,0.000000,0.000000,0.005000,9
MN,55127,"VADNAIS HEIGHTS",0.068750,0.073750,0.000000,0.000000,0.005000,7
MN,55128,OAKDALE,0.068750,0.071250,0.000000,0.000000,0.002500,7
MN,55129,WOODBURY,0.068750,0.071250,0.000000,0.000000,0.002500,5
MN,55130,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,4
MN,55133,EAGAN,0.068750,0.071250,0.000000,0.000000,0.002500,4
MN,55144,"LITTLE CANADA",0.068750,0.073750,0.000000,0.000000,0.005000,5
MN,55145,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,4
MN,55146,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,4
MN,55150,EAGAN,0.068750,0.071250,0.000000,0.000000,0.002500,5
MN,55155,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,4
MN,55164,EAGAN,0.068750,0.071250,0.000000,0.000000,0.002500,4
MN,55165,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,4
MN,55168,"SAINT PAUL",0.068750,0.078750,0,0.005000,0.005000,4
MN,55170,EAGAN,0.068750,0.071250,0.000000,0.000000,0.002500,4
MN,55301,ALBERTVILLE,0.068750,0.073750,0.000000,0.000000,0.005000,4
MN,55302,"WRIGHT CO TR",0.068750,0.073750,0.000000,0,0.005000,1
MN,55303,RAMSEY,0.068750,0.071250,0.000000,0.000000,0.002500,6
MN,55304,ANDOVER,0.068750,0.071250,0.000000,0.000000,0.002500,4
MN,55305,MINNETONKA,0.068750,0.075250,0.001500,0.000000,0.005000,2
MN,55306,BURNSVILLE,0.068750,0.071250,0.000000,0.000000,0.002500,1
MN,55307,ARLINGTON,0.068750,0.068750,0.000000,0.000000,0,1
MN,55308,SHERBURNE,0.068750,0.068750,0.000000,0,0,1
MN,55309,SHERBURNE,0.068750,0.068750,0.000000,0,0,1
MN,55310,"BIRD ISLAND",0.068750,0.068750,0.000000,0.000000,0,1
MN,55311,"MAPLE GROVE",0.068750,0.075250,0.001500,0.000000,0.005000,4
MN,55312,MCLEOD,0.068750,0.068750,0.000000,0,0,1
MN,55313,BUFFALO,0.068750,0.073750,0.000000,0.000000,0.005000,1
MN,55314,RENVILLE,0.068750,0.068750,0.000000,0,0,1
MN,55315,CARVER,0.068750,0.073750,0.000000,0.000000,0.005000,1
MN,55316,CHAMPLIN,0.068750,0.075250,0.001500,0.000000,0.005000,1
MN,55317,CHANHASSEN,0.068750,0.073750,0.000000,0.000000,0.005000,1
MN,55318,CHASKA,0.068750,0.073750,0.000000,0.000000,0.005000,1
MN,55319,SHERBURNE,0.068750,0.068750,0.000000,0,0,1
MN,55320,"STEARNS CO TR",0.068750,0.071250,0.000000,0,0.002500,3
MN,55321,"WRIGHT CO TR",0.068750,0.073750,0.000000,0,0.005000,1
MN,55322,CARVER,0.068750,0.073750,0.000000,0,0.005000,1
MN,55323,ORONO,0.068750,0.075250,0.001500,0.000000,0.005000,2
MN,55324,MEEKER,0.068750,0.068750,0.000000,0,0,1
MN,55325,MEEKER,0.068750,0.068750,0.000000,0,0,2
MN,55327,DAYTON,0.068750,0.075250,0.001500,0.000000,0.005000,5
MN,55328,DELANO,0.068750,0.073750,0.000000,0.000000,0.005000,3
MN,55329,"STEARNS CO TR",0.068750,0.071250,0.000000,0,0.002500,1
MN,55330,"ELK RIVER",0.068750,0.068750,0.000000,0.000000,0,7
MN,55331,SHOREWOOD,0.068750,0.075250,0.001500,0.000000,0.005000,9
MN,55332,RENVILLE,0.068750,0.068750,0.000000,0,0,1
MN,55333,RENVILLE,0.068750,0.068750,0.000000,0,0,1
MN,55334,GAYLORD,0.068750,0.068750,0.000000,0.000000,0,1
MN,55335,SIBLEY,0.068750,0.068750,0.000000,0,0,1
MN,55336,GLENCOE,0.068750,0.068750,0.000000,0.000000,0,2
MN,55337,BURNSVILLE,0.068750,0.071250,0.000000,0.000000,0.002500,1
MN,55338,SIBLEY,0.068750,0.068750,0.000000,0,0,1
MN,55339,CARVER,0.068750,0.073750,0.000000,0,0.005000,1
MN,55340,MEDINA,0.068750,0.075250,0.001500,0.000000,0.005000,3
MN,55341,HANOVER,0.068750,0.073750,0.000000,0.000000,0.005000,1
MN,55342,RENVILLE,0.068750,0.068750,0.000000,0,0,1
MN,55343,HOPKINS,0.068750,0.075250,0.001500,0.000000,0.005000,4
MN,55344,"EDEN PRAIRIE",0.068750,0.075250,0.001500,0.000000,0.005000,1
MN,55345,MINNETONKA,0.068750,0.075250,0.001500,0.000000,0.005000,2
MN,55346,"EDEN PRAIRIE",0.068750,0.075250,0.001500,0.000000,0.005000,1
MN,55347,"EDEN PRAIRIE",0.068750,0.075250,0.001500,0.000000,0.005000,1
MN,55349,"WRIGHT CO TR",0.068750,0.073750,0.000000,0,0.005000,2
MN,55350,HUTCHINSON,0.068750,0.073750,0,0.005000,0,2
MN,55352,JORDAN,0.068750,0.073750,0.000000,0.000000,0.005000,1
MN,55353,"STEARNS CO TR",0.068750,0.071250,0.000000,0,0.002500,3
MN,55354,MCLEOD,0.068750,0.068750,0.000000,0,0,2
MN,55355,LITCHFIELD,0.068750,0.068750,0.000000,0.000000,0,1
MN,55356,ORONO,0.068750,0.075250,0.001500,0.000000,0.005000,2
MN,55357,GREENFIELD,0.068750,0.075250,0.001500,0.000000,0.005000,6
MN,55358,"WRIGHT CO TR",0.068750,0.073750,0.000000,0,0.005000,2
MN,55359,"INDEPENDENCE CITY",0.068750,0.075250,0.001500,0.000000,0.005000,7
MN,55360,CARVER,0.068750,0.073750,0.000000,0,0.005000,1
MN,55361,MOUND,0.068750,0.075250,0.001500,0.000000,0.005000,1
MN,55362,"WRIGHT CO TR",0.068750,0.073750,0.000000,0,0.005000,4
MN,55363,"WRIGHT CO TR",0.068750,0.073750,0.000000,0,0.005000,1
MN,55364,MOUND,0.068750,0.075250,0.001500,0.000000,0.005000,5
MN,55365,"WRIGHT CO TR",0.068750,0.073750,0.000000,0,0.005000,1
MN,55366,"NEW AUBURN",0.068750,0.068750,0.000000,0.000000,0,1
MN,55367,CARVER,0.068750,0.073750,0.000000,0,0.005000,1
MN,55368,"NORWOOD YOUNG AMERICA",0.068750,0.073750,0.000000,0.000000,0.005000,3
MN,55369,"MAPLE GROVE",0.068750,0.075250,0.001500,0.000000,0.005000,3
MN,55370,MCLEOD,0.068750,0.068750,0.000000,0,0,1
MN,55371,PRINCETON,0.068750,0.073750,0.000000,0.000000,0.005000,1
MN,55372,"PRIOR LAKE",0.068750,0.073750,0.000000,0.000000,0.005000,2
MN,55373,ROCKFORD,0.068750,0.073750,0.000000,0.000000,0.005000,4
MN,55374,ROGERS,0.068750,0.075250,0.001500,0.000000,0.005000,6
MN,55375,"SAINT BONIFACIUS",0.068750,0.075250,0.001500,0.000000,0.005000,4
MN,55376,"SAINT MICHAEL",0.068750,0.073750,0.000000,0.000000,0.005000,1
MN,55377,PRINCETON,0.068750,0.073750,0.000000,0.000000,0.005000,1
MN,55378,SAVAGE,0.068750,0.073750,0.000000,0.000000,0.005000,1
MN,55379,SHAKOPEE,0.068750,0.073750,0.000000,0.000000,0.005000,2
MN,55381,MCLEOD,0.068750,0.068750,0.000000,0,0,1
MN,55382,"STEARNS CO TR",0.068750,0.071250,0.000000,0,0.002500,3
MN,55384,"SPRING PARK",0.068750,0.075250,0.001500,0.000000,0.005000,1
MN,55385,MCLEOD,0.068750,0.068750,0.000000,0,0,1
MN,55386,VICTORIA,0.068750,0.073750,0.000000,0.000000,0.005000,1
MN,55387,WACONIA,0.068750,0.073750,0.000000,0.000000,0.005000,3
MN,55388,WATERTOWN,0.068750,0.073750,0.000000,0.000000,0.005000,3
MN,55389,MEEKER,0.068750,0.068750,0.000000,0,0,1
MN,55390,"WRIGHT CO TR",0.068750,0.073750,0.000000,0,0.005000,1
MN,55391,WAYZATA,0.068750,0.075250,0.001500,0.000000,0.005000,4
MN,55392,WAYZATA,0.068750,0.075250,0.001500,0.000000,0.005000,1
MN,55395,WINSTED,0.068750,0.068750,0.000000,0.000000,0,1
MN,55396,SIBLEY,0.068750,0.068750,0.000000,0,0,1
MN,55397,"NORWOOD YOUNG AMERICA",0.068750,0.073750,0.000000,0.000000,0.005000,3
MN,55398,SHERBURNE,0.068750,0.068750,0.000000,0,0,1
MN,55401,MINNEAPOLIS,0.068750,0.080250,0.001500,0.005000,0.005000,2
MN,55402,MINNEAPOLIS,0.068750,0.080250,0.001500,0.005000,0.005000,2
MN,55403,MINNEAPOLIS,0.068750,0.080250,0.001500,0.005000,0.005000,2
MN,55404,MINNEAPOLIS,0.068750,0.080250,0.001500,0.005000,0.005000,2
MN,55405,MINNEAPOLIS,0.068750,0.080250,0.001500,0.005000,0.005000,2
MN,55406,MINNEAPOLIS,0.068750,0.080250,0.001500,0.005000,0.005000,2
MN,55407,MINNEAPOLIS,0.068750,0.080250,0.001500,0.005000,0.005000,2
MN,55408,MINNEAPOLIS,0.068750,0.080250,0.001500,0.005000,0.005000,2
MN,55409,MINNEAPOLIS,0.068750,0.080250,0.001500,0.005000,0.005000,2
MN,55410,MINNEAPOLIS,0.068750,0.080250,0.001500,0.005000,0.005000,3
MN,55411,MINNEAPOLIS,0.068750,0.080250,0.001500,0.005000,0.005000,2
MN,55412,MINNEAPOLIS,0.068750,0.080250,0.001500,0.005000,0.005000,2
MN,55413,MINNEAPOLIS,0.068750,0.080250,0.001500,0.005000,0.005000,2
MN,55414,MINNEAPOLIS,0.068750,0.080250,0.001500,0.005000,0.005000,2
MN,55415,MINNEAPOLIS,0.068750,0.080250,0.001500,0.005000,0.005000,2
MN,55416,"SAINT LOUIS PARK",0.068750,0.075250,0.001500,0.000000,0.005000,6
MN,55417,MINNEAPOLIS,0.068750,0.080250,0.001500,0.005000,0.005000,2
MN,55418,MINNEAPOLIS,0.068750,0.080250,0.001500,0.005000,0.005000,5
MN,55419,MINNEAPOLIS,0.068750,0.080250,0.001500,0.005000,0.005000,2
MN,55420,BLOOMINGTON,0.068750,0.075250,0.001500,0.000000,0.005000,3
MN,55421,"COLUMBIA HEIGHTS",0.068750,0.071250,0.000000,0.000000,0.002500,8
MN,55422,"GOLDEN VALLEY",0.068750,0.075250,0.001500,0.000000,0.005000,5
MN,55423,RICHFIELD,0.068750,0.075250,0.001500,0.000000,0.005000,4
MN,55424,EDINA,0.068750,0.075250,0.001500,0.000000,0.005000,5
MN,55425,BLOOMINGTON,0.068750,0.075250,0.001500,0.000000,0.005000,3
MN,55426,"SAINT LOUIS PARK",0.068750,0.075250,0.001500,0.000000,0.005000,5
MN,55427,"GOLDEN VALLEY",0.068750,0.075250,0.001500,0.000000,0.005000,5
MN,55428,"NEW HOPE",0.068750,0.075250,0.001500,0.000000,0.005000,6
MN,55429,"BROOKLYN CENTER",0.068750,0.075250,0.001500,0.000000,0.005000,5
MN,55430,"BROOKLYN CENTER",0.068750,0.075250,0.001500,0.000000,0.005000,3
MN,55431,BLOOMINGTON,0.068750,0.075250,0.001500,0.000000,0.005000,3
MN,55432,FRIDLEY,0.068750,0.071250,0.000000,0.000000,0.002500,4
MN,55433,"COON RAPIDS",0.068750,0.071250,0.000000,0.000000,0.002500,3
MN,55434,BLAINE,0.068750,0.071250,0.000000,0.000000,0.002500,3
MN,55435,EDINA,0.068750,0.075250,0.001500,0.000000,0.005000,4
MN,55436,EDINA,0.068750,0.075250,0.001500,0.000000,0.005000,5
MN,55437,BLOOMINGTON,0.068750,0.075250,0.001500,0.000000,0.005000,3
MN,55438,BLOOMINGTON,0.068750,0.075250,0.001500,0.000000,0.005000,3
MN,55439,EDINA,0.068750,0.075250,0.001500,0.000000,0.005000,4
MN,55440,MINNEAPOLIS,0.068750,0.080250,0.001500,0.005000,0.005000,2
